,orig_lambda_H_D,orig_lambda_ICU_D,new_lambda_H_D,new_lambda_ICU_D,penalty,rse,age_group
0,0.00040160642570281126,0.000273224043715847,0.0015551274067849407,0.0010579965144520498,0.0,0.2089394888133593,age_group_0_9
1,0.00040160642570281126,0.000273224043715847,0.0015410128174242047,0.0010483939659525327,10.0,0.20894005219506248,age_group_0_9
2,0.00040160642570281126,0.000273224043715847,0.00142798320623256,0.000971496771453299,100.0,0.20898517028899877,age_group_0_9
3,0.00040160642570281126,0.000273224043715847,0.0009168533140852459,0.0006237608612219296,1000.0,0.21008761622066083,age_group_0_9
4,0.00040160642570281126,0.000273224043715847,0.00048776510547092895,0.000331840194705632,10000.0,0.21213455815086396,age_group_0_9
5,0.00040160642570281126,0.000273224043715847,0.00041083878757647107,0.00027950507679382866,100000.0,0.2126075777379976,age_group_0_9
6,0.00040160642570281126,0.000273224043715847,0.00040253186770820376,0.0002738536477031222,1000000.0,0.21266055983473983,age_group_0_9
7,0.00040160642570281126,0.000273224043715847,0.000401694537498607,0.0002732839886261015,10000000.0,0.2126659209094099,age_group_0_9
8,0.00040160642570281126,0.000273224043715847,0.00040161073755873923,0.0002732269771916013,100000000.0,0.2126664576522032,age_group_0_9
9,0.00040160642570281126,0.000273224043715847,0.002582118750233766,0.0017566873464705131,0.0,0.25621319052221625,age_group_10_19
10,0.00040160642570281126,0.000273224043715847,0.0025317196368346813,0.0017223994250596603,10.0,0.2562162558480318,age_group_10_19
11,0.00040160642570281126,0.000273224043715847,0.002164914631051916,0.0014728517571910575,100.0,0.25642312202567435,age_group_10_19
12,0.00040160642570281126,0.000273224043715847,0.0010494035136192751,0.0007139384559868839,1000.0,0.2590321650892635,age_group_10_19
13,0.00040160642570281126,0.000273224043715847,0.0004900238178548399,0.00033337685968812876,10000.0,0.2614408192424347,age_group_10_19
14,0.00040160642570281126,0.000273224043715847,0.0004107785948661509,0.0002794641260154961,100000.0,0.2618400081073156,age_group_10_19
15,0.00040160642570281126,0.000273224043715847,0.0004025226319939562,0.00027384736438933085,1000000.0,0.2618824143465998,age_group_10_19
16,0.00040160642570281126,0.000273224043715847,0.00040169358137280656,0.0002732833381470733,10000000.0,0.26188668122494646,age_group_10_19
17,0.00040160642570281126,0.000273224043715847,0.0004016106416201976,0.0002732269119219377,100000000.0,0.2618871081767845,age_group_10_19
18,0.0007362784471218206,0.000500910746812386,0.0021183076094996763,0.0014411437015448612,0.0,0.5841148341524642,age_group_20_29
19,0.0007362784471218206,0.000500910746812386,0.002117136749899078,0.0014403471331280611,10.0,0.584114854568801,age_group_20_29
20,0.0007362784471218206,0.000500910746812386,0.0021066875557926787,0.0014332382551704285,100.0,0.5841168298705242,age_group_20_29
21,0.0007362784471218206,0.000500910746812386,0.0020102815452201946,0.0013676505594530828,1000.0,0.5842871585969958,age_group_20_29
22,0.0007362784471218206,0.000500910746812386,0.0014841586626615161,0.0010097145000074247,10000.0,0.5900238103668232,age_group_20_29
23,0.0007362784471218206,0.000500910746812386,0.0008820695105040753,0.0006000964702609691,100000.0,0.6062643729929116,age_group_20_29
