,orig_lambda_H_D,orig_lambda_ICU_D,new_lambda_H_D,new_lambda_ICU_D,penalty,rse,age_group
0,0.00040160642570281126,0.000273224043715847,0.000680994327304237,0.0,0.0,0.09480569939814183,age_group_0_9
1,0.00040160642570281126,0.000273224043715847,0.0006358478329394089,0.00015889385898556842,10.0,0.0948082501690321,age_group_0_9
2,0.00040160642570281126,0.000273224043715847,0.0005747214915591208,0.00029609051827874744,100.0,0.09481375990122656,age_group_0_9
3,0.00040160642570281126,0.000273224043715847,0.0004768501596945047,0.0002908583659391064,1000.0,0.09486210379602532,age_group_0_9
4,0.00040160642570281126,0.000273224043715847,0.00041308687315679124,0.00027598059478764155,10000.0,0.09492952217229883,age_group_0_9
5,0.00040160642570281126,0.000273224043715847,0.0004028137509018094,0.00027351187716429144,100000.0,0.09494303586032764,age_group_0_9
6,0.00040160642570281126,0.000273224043715847,0.0004017233385479843,0.00027324849138638647,1000000.0,0.09494451359758865,age_group_0_9
7,0.00040160642570281126,0.000273224043715847,0.0004016136277169596,0.000273224030048094,10000000.0,0.09494466210258602,age_group_0_9
8,0.00040160642570281126,0.000273224043715847,0.00040160642570281126,0.000273224043715847,100000000.0,0.09494467135160886,age_group_0_9
9,0.00040160642570281126,0.000273224043715847,0.0010191442775852734,0.0,0.0,0.116319814855107,age_group_10_19
10,0.00040160642570281126,0.000273224043715847,0.0009395742663282863,0.0002085248300792902,10.0,0.11632356811948565,age_group_10_19
11,0.00040160642570281126,0.000273224043715847,0.0007937174970311632,0.00036449848591507195,100.0,0.11634583826615458,age_group_10_19
12,0.00040160642570281126,0.000273224043715847,0.0005354830860931697,0.0003118337471065477,1000.0,0.11654858588998544,age_group_10_19
13,0.00040160642570281126,0.000273224043715847,0.0004193588646016242,0.00027841150571160714,10000.0,0.11671660993472359,age_group_10_19
14,0.00040160642570281126,0.000273224043715847,0.00040343704577222404,0.00027375693296909125,100000.0,0.11674334709331835,age_group_10_19
15,0.00040160642570281126,0.000273224043715847,0.0004017856119652405,0.0002732730155646183,1000000.0,0.11674617148116907,age_group_10_19
16,0.00040160642570281126,0.000273224043715847,0.00040161985062437777,0.0002732244427358614,10000000.0,0.11674645550256992,age_group_10_19
