,orig_lambda_H_D,orig_lambda_ICU_D,new_lambda_H_D,new_lambda_ICU_D,penalty,rse,age_group
0,0.00040160642570281126,0.000273224043715847,0.0,0.0,0.0,0.0,age_group_0_9
1,0.00040160642570281126,0.000273224043715847,1.1608390691042802e-05,7.897511699643873e-06,10.0,0.00025728841351469736,age_group_0_9
2,0.00040160642570281126,0.000273224043715847,9.214603839356996e-05,6.268951792349432e-05,100.0,0.002042325130238726,age_group_0_9
3,0.00040160642570281126,0.000273224043715847,0.00030064522283434065,0.00020453732373155962,1000.0,0.006663501812831511,age_group_0_9
4,0.00040160642570281126,0.000273224043715847,0.00038855407261047367,0.0002643441641530271,10000.0,0.00861191387913588,age_group_0_9
5,0.00040160642570281126,0.000273224043715847,0.00040025739236785484,0.0002723062587420652,100000.0,0.008871306300822312,age_group_0_9
6,0.00040160642570281126,0.000273224043715847,0.0004014666166622372,0.0002731289277292269,1000000.0,0.008898107552482899,age_group_0_9
7,0.00040160642570281126,0.000273224043715847,0.0004015879410609451,0.00027321146809883973,10000000.0,0.008900796586897314,age_group_0_9
8,0.00040160642570281126,0.000273224043715847,0.00040160508226728714,0.0002732231297392199,100000000.0,0.008901176504657049,age_group_0_9
9,0.00040160642570281126,0.000273224043715847,0.0,0.0,0.0,0.0,age_group_10_19
10,0.00040160642570281126,0.000273224043715847,1.631659283948395e-05,1.1100632833419408e-05,10.0,0.0003032064730071421,age_group_10_19
11,0.00040160642570281126,0.000273224043715847,0.00011949996744966786,8.129915818297076e-05,100.0,0.002220632947780784,age_group_10_19
12,0.00040160642570281126,0.000273224043715847,0.00032490858838416057,0.00022104436750725677,1000.0,0.006037681279592827,age_group_10_19
13,0.00040160642570281126,0.000273224043715847,0.0003923404751828047,0.0002669201593456786,10000.0,0.007290748311758863,age_group_10_19
14,0.00040160642570281126,0.000273224043715847,0.00040065570366156747,0.0002725772410156565,100000.0,0.007445267770821,age_group_10_19
15,0.00040160642570281126,0.000273224043715847,0.0004015066529761164,0.0002731561655493251,1000000.0,0.007461080713076192,age_group_10_19
16,0.00040160642570281126,0.000273224043715847,0.0004015919467529821,0.0002732141932827665,10000000.0,0.007462665702387828,age_group_10_19
17,0.00040160642570281126,0.000273224043715847,0.0004016052464697511,0.0002732232414507323,100000000.0,0.0074629128471350925,age_group_10_19
18,0.0007362784471218206,0.000500910746812386,0.00035067917373619525,0.00023857681491888687,0.0,0.16809680564715856,age_group_20_29
19,0.0007362784471218206,0.000500910746812386,0.0003517513152275528,0.00023930622265481047,10.0,0.1680968236064234,age_group_20_29
20,0.0007362784471218206,0.000500910746812386,0.0003611388424848508,0.0002456928190675624,100.0,0.1680985131837174,age_group_20_29
21,0.0007362784471218206,0.000500910746812386,0.00043475107353724025,0.00029577327134090926,1000.0,0.16820707398533766,age_group_20_29
22,0.0007362784471218206,0.000500910746812386,0.0006344872948762699,0.00043165938913713434,10000.0,0.16934914468246795,age_group_20_29
23,0.0007362784471218206,0.000500910746812386,0.0007229231114542729,0.0004918247397598741,100000.0,0.17024550183476622,age_group_20_29
24,0.0007362784471218206,0.000500910746812386,0.0007348954752607345,0.0004999698725134503,1000000.0,0.1703849965655986,age_group_20_29
25,0.0007362784471218206,0.000500910746812386,0.0007361352054940348,0.0005008132955410236,10000000.0,0.17039968678597692,age_group_20_29
26,0.0007362784471218206,0.000500910746812386,0.0007362596186803503,0.0005008979372989267,100000000.0,0.17040116356656915,age_group_20_29
27,0.0012717536813922356,0.0008652094717668487,0.0011793782928946922,0.0008023639205758971,0.0,0.35649469757256164,age_group_30_39
28,0.0012717536813922356,0.0008652094717668487,0.0011794431002779425,0.0008024080108448296,10.0,0.35649469768401193,age_group_30_39
29,0.0012717536813922356,0.0008652094717668487,0.0011800222994861245,0.0008028020562077732,100.0,0.356494709580372,age_group_30_39
30,0.0012717536813922356,0.0008652094717668487,0.0011854381165596493,0.0008064865874954991,1000.0,0.3564957696158585,age_group_30_39
31,0.0012717536813922356,0.0008652094717668487,0.0012174800441746355,0.0008282856038237272,10000.0,0.3565371122707593,age_group_30_39
32,0.0012717536813922356,0.0008652094717668487,0.0012602325440830018,0.0008573713209745011,100000.0,0.3566856730768011,age_group_30_39
33,0.0012717536813922356,0.0008652094717668487,0.0012704515180813275,0.0008643235737766406,1000000.0,0.3567369821262834,age_group_30_39
34,0.0012717536813922356,0.0008652094717668487,0.001271617304727775,0.0008651166909213549,10000000.0,0.356743222603809,age_group_30_39
35,0.0012717536813922356,0.0008652094717668487,0.0012717355269934421,0.0008651971208234072,100000000.0,0.3567438598765532,age_group_30_39
36,0.002208835341365462,0.0015027322404371584,0.0014852368454732333,0.0010104480178219537,0.0,0.5846705368704938,age_group_40_49
37,0.002208835341365462,0.0015027322404371584,0.0014853720951526024,0.0010105400319480819,10.0,0.5846705380973345,age_group_40_49
38,0.002208835341365462,0.0015027322404371584,0.0014865870711137992,0.0010113666139544698,100.0,0.5846706588950794,age_group_40_49
39,0.002208835341365462,0.0015027322404371584,0.0014985160908963732,0.0010194822585606472,1000.0,0.5846823370577721,age_group_40_49
40,0.002208835341365462,0.0015027322404371584,0.001599205543908447,0.001087984099544271,10000.0,0.5855390700011243,age_group_40_49
41,0.002208835341365462,0.0015027322404371584,0.0019566627512949725,0.0013311721996514974,100000.0,0.5993578636732073,age_group_40_49
42,0.002208835341365462,0.0015027322404371584,0.002172090244626918,0.0014777335270822472,1000000.0,0.6154306646001053,age_group_40_49
